"Statistic Label","Month","Residency","Expenditure Type","UNIT","VALUE"
"Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Fare","Euro Million","28.3"
"Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","1.9"
"Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","27.9"
"Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","57.8"
"Expenditure of Overnight Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","116"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Fare","Euro Million","30.7"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Prepayments","Euro Million","3.3"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Accommodation","Euro Million","56.7"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","Day-to-Day Expenditure","Euro Million","72.9"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Europe (3)","All Travel Expenditure","Euro Million","163.6"
"Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","Fare","Euro Million","55.8"
"Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","Prepayments","Euro Million","5.7"
"Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","Accommodation","Euro Million","51.8"
"Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","Day-to-Day Expenditure","Euro Million","65.6"
"Expenditure of Overnight Foreign Visitors","2023 April","USA & Canada","All Travel Expenditure","Euro Million","178.9"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","Fare","Euro Million","8.2"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","Prepayments","Euro Million","1.1"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","Accommodation","Euro Million","9.9"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","Day-to-Day Expenditure","Euro Million","16"
"Expenditure of Overnight Foreign Visitors","2023 April","Other Residencies","All Travel Expenditure","Euro Million","35.2"
"Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","Fare","Euro Million","123.1"
"Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","Prepayments","Euro Million","12.1"
"Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","Accommodation","Euro Million","146.3"
"Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","Day-to-Day Expenditure","Euro Million","212.3"
"Expenditure of Overnight Foreign Visitors","2023 April","All Residencies","All Travel Expenditure","Euro Million","493.8"
"Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Fare","Euro Million","28.8"
"Expenditure of Overnight Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","3.2"
